id,name,pc_class,age,sex,survived,sexcode
461,"Jefferys, Mr Ernest",2,NA,male,0,0
462,"Jenkin, Mr Stephen Curnow",2,NA,male,0,0
463,"Jerwan, Mrs Amin S (Marie Thuillard)",2,23,female,1,1
464,"Kantor, Mr Sinai",2,34,male,0,0
465,"Kantor, Mrs Sinai (Miriam Sternim)",2,NA,female,1,1
466,"Karnes, Mrs J Frank (Claire Bennett)",2,22,female,0,1
467,"Keane, Mr Daniel",2,NA,male,0,0
468,"Keane, Miss Nora A",2,NA,female,1,1
469,"Kelly, Mrs Florence (Fannie)",2,45,female,1,1
470,"Kirkland, Rev Charles Leonard",2,NA,male,0,0
471,"Knight, Mr Robert",2,NA,male,0,0
472,"Kvillner, Mr Johan Henrik Johannesson",2,31,male,0,0
473,"Lahtinen, Rev William",2,30,male,0,0
474,"Lahtinen, Mrs William (Anna Sylvan)",2,26,female,0,1
475,"Lamb, Mr John James",2,NA,male,0,0
476,"Lemore, Mrs Amelia",2,34,female,1,1
477,"LaRoche, Mr Joseph",2,26,male,0,0
478,"LaRoche, Mrs Joseph (Juliet)",2,22,female,1,1
479,"LaRoche, Miss Louise",2,1,female,1,1
480,"LaRoche, Miss Simonne",2,3,female,1,1
481,"Lehmann, Miss Bertha",2,NA,female,1,1
482,"Leitch, Miss Jessie",2,NA,female,1,1
483,"Levy, Mr Rene Jacques",2,NA,male,0,0
484,"Leyson, Mr Robert William Norman",2,25,male,0,0
485,"Lingan, Mr John",2,NA,male,0,0
486,"Louch, Mr Charles Alexander",2,48,male,0,0
487,"Louch, Mrs Charles Alexander (Alice Adelaide)",2,NA,female,1,1
488,"Mack, Mrs Mary",2,57,female,0,1
489,"Malachard, Mr Noel",2,NA,male,0,0
490,"Mallet, Mr Albert",2,NA,male,0,0
491,"Mallet, Mrs Albert (Antoinette)",2,NA,female,1,1
492,"Mallet, Master Andre",2,2,male,1,0
493,"Mangiavacchi, Mr Serafino Emilio",2,NA,male,0,0
494,"Mantvila, Rev Joseph",2,27,male,0,0
495,"Marshall, Mrs Kate Louise Phillips",2,19,female,1,1
496,"Matthews, Mr William John",2,30,male,0,0
497,"Maybery, Mr Frank H",2,20,male,0,0
498,"McCrae, Mr Arthur Gordon",2,45,male,0,0
499,"McCrie, Mr James Matthew",2,NA,male,0,0
500,"McKane, Mr Peter D",2,46,male,0,0
501,"Mellenger, Mrs Elizabeth Anne",2,41,female,1,1
502,"Mellenger, Miss Madeleine Violet",2,13,female,1,1
503,"Mellor, Mr William John",2,19,male,1,0
504,"Meyer, Mr August",2,30,male,0,0
505,"Milling, Mr Jacob Christian",2,48,male,0,0
506,"Mitchell, Mr Henry Michael",2,71,male,0,0
507,"Moraweck, Dr Ernest",2,54,male,0,0
508,"Morley, Mr William",2,NA,male,0,0
509,"Mudd, Mr Thomas C",2,NA,male,0,0
510,"Myles, Mr Thomas Francis",2,64,male,0,0
511,"Nasser (Nasrallah), Mr Nicholas",2,32,male,0,0
512,"Nasser (Nasrallah), Mrs Nicholas",2,18,female,1,1
513,"Navratil, Master Edmond Roger",2,2,male,1,0
514,"Navratil, Mr Michel",2,32,male,0,0
515,"Navratil, Master Michel M",2,3,male,1,0
516,"Nesson, Mr Israel",2,26,male,0,0
517,"Nicholls, Mr Joseph Charles",2,19,male,0,0
518,"Norman, Mr Robert Douglas",2,NA,male,0,0
519,"Nourney, Mr Alfred (aka Baron von Drachstedt)",2,20,male,1,0
520,"Nye, Mrs Elizabeth Ramell",2,29,female,1,1
521,"Otter, Mr Richard",2,39,male,0,0
522,"Oxenham, Mr Percy Thomas",2,22,male,1,0
523,"Padro y Manent, Mr Julian",2,NA,male,1,0
524,"Pain, Dr Alfred",2,24,male,0,0
525,"Pallas y Castello, Mr Emilio",2,NA,male,1,0
526,"Parker, Mr Clifford R",2,28,male,0,0
527,"Parkes, Mr Francis (Frank)",2,NA,male,0,0
528,"Parrish, Mrs Lutie Davis",2,50,female,1,1
529,"Pengelly, Mr Frederick",2,20,male,0,0
530,"Peruschitz, Rev Joseph M",2,40,male,0,0
531,"Phillips, Miss Alice",2,42,female,1,1
532,"Phillips, Mr Robert",2,21,male,0,0
533,"Pinsky, Miss Rosa",2,32,female,1,1
534,"Ponesell, Mr Martin",2,34,male,0,0
535,"Portaluppi, Mr Emilio",2,NA,male,1,0
536,"Pulbaum, Mr Frank",2,NA,male,0,0
537,"Quick, Mrs Frederick C (Jane Richards)",2,33,female,1,1
538,"Quick, Miss Phyllis May",2,2,female,1,1
539,"Quick, Miss Winifred Vera",2,8,female,1,1
540,"Reeves, Mr David",2,36,male,0,0
541,"Renouf, Mr Peter Henry",2,34,male,0,0
542,"Renouf, Mrs Peter Henry (Lillian Jefferys)",2,30,female,1,1
543,"Reynaldo, Mrs Encarnacion",2,28,female,1,1
544,"Richard, Mr Emil",2,23,male,0,0
545,"Richards, Master George Sidney",2,0.8,male,1,0
546,"Richards, Mrs Sidney (Emily Hocking)",2,25,female,1,1
547,"Richards, Master William Rowe",2,3,male,1,0
548,"Ridsdale, Miss Lucy",2,50,female,1,1
549,"Rogers, Mr Harry",2,NA,male,0,0
550,"Rugg, Miss Emily",2,21,female,1,1
551,"Sedgwick, Mr Charles Frederick Waddington",2,NA,male,0,0
552,"Sharp, Mr Percival",2,NA,male,0,0
553,"Shelley, Mrs William (Imanita)",2,25,female,1,1
554,"Silven, Miss Lyyli",2,18,female,1,1
555,"Sincock, Miss Maude",2,20,female,1,1
556,"Siukonnen, Miss Anna",2,30,female,1,1
557,"Sjostedt, Mr Ernst Adolf",2,59,male,0,0
558,"Slayter, Miss Hilda Mary",2,30,female,1,1
559,"Slemen, Mr Richard James",2,35,male,0,0
560,"Smith (Schmidt), Mr Augustus",2,22,male,0,0
561,"Smith, Miss Marion",2,NA,female,1,1
562,"Sobey, Mr Hayden",2,25,male,0,0
563,"Stanton, Mr Samuel Ward",2,41,male,0,0
564,"Stokes, Mr Philip Joseph",2,25,male,0,0
565,"Sweet, Mr George",2,14,male,0,0
566,"Toomey, Miss Ellen",2,50,female,1,1
567,"Troupiansky, Mr Moses Aaron",2,22,male,0,0
568,"Trout, Mrs William H (Jessie L)",2,NA,female,1,1
569,"Troutt, Miss Edwina Celia",2,27,female,1,1
570,"Turpin, Mr William John",2,29,male,0,0
571,"Turpin, Mrs William John (Dorothy Anne Wonnacott)",2,27,female,0,1
572,"Veale, Mr James",2,30,male,0,0
573,"Waelens, Mr Achille",2,22,male,0,0
574,"Walcroft, Miss Nellie",2,35,female,1,1
575,"Ware, Mr John James",2,30,male,0,0
576,"Ware, Mrs John James (Florence Louise Long)",2,28,female,1,1
577,"Ware, Mr William J",2,23,male,0,0
578,"Watson, Mr Ennis Hastings",2,NA,male,0,0
579,"Watt, Miss Bertha",2,12,female,1,1
580,"Watt, Mrs James (Bessie Inglis Milne)",2,40,female,1,1
581,"Webber, Miss Susan",2,36,female,1,1
582,"Weisz, Mr Leopold",2,28,male,0,0
583,"Weisz, Mrs Leopold (Mathilde)",2,32,female,1,1
584,"Wells, Mrs Arthur H (Addie Trevaskis)",2,29,female,1,1
585,"Wells, Miss Joan",2,4,female,1,1
586,"Wells, Master Ralph Lester",2,2,male,1,0
587,"West, Miss Barbara J",2,NA,female,1,1
588,"West, Miss Constance Mirium",2,NA,female,1,1
589,"West, Mr Edwy Arthur",2,36,male,0,0
590,"West, Mrs Edwy Arthur (Ada Mary)",2,33,female,1,1
591,"Wheadon, Mr Edward",2,NA,male,0,0
592,"Wheeler, Mr Edwin",2,NA,male,0,0
593,"Wheeler, Mr Frederick",2,NA,male,0,0
594,"Wilhelms, Mr Charles",2,32,male,1,0
595,"Wilkinson, Mrs Elizabeth Anne",2,NA,female,1,1
596,"Williams, Mr Charles Eugene",2,NA,male,1,0
597,"Wright, Miss Marion",2,26,female,1,1
598,"Yrois, Miss Henriette",2,NA,female,0,1
599,"Aldworth, Mr Charles Augustus",2,30,male,0,0
600,"Brown, Miss Mildred",2,24,female,1,1
601,"Pernot, Mr Rene",2,NA,male,0,0
602,"Swane, Mr George",2,18,male,0,0
603,"Abbing, Mr Anthony",3,42,male,0,0
604,"Abbott, Master Eugene Joseph",3,13,male,0,0
605,"Abbott, Mr Rossmore Edward",3,16,male,0,0
606,"Abbott, Mrs Stanton (Rosa)",3,35,female,1,1
607,"Abelseth, Miss Anna Karen",3,16,female,1,1
608,"Abelseth, Mr Olaus",3,25,male,1,0
609,"Abraham, Mrs Joseph (Sophie Easu)",3,18,female,1,1
610,"Abrahamsson, Mr August",3,20,male,1,0
611,"Adahl, Mr Mauritz Nils Martin",3,30,male,0,0
612,"Adams, Mr John",3,26,male,0,0
613,"Ahlin, Mrs Johanna Persdotter",3,40,female,0,1
614,"Ahmed, Mr Ali",3,24,male,0,0
615,"Aijo-Nirva, Mr Isak",3,41,male,0,0
616,"Aks, Mrs Sam (Leah Rosen)",3,18,female,1,1
617,"Aks, Master Philip",3,0.83,male,1,0
618,"Alexander, Mr William",3,23,male,0,0
619,"Alhomaki, Mr Ilmari Rudolf",3,20,male,0,0
620,"Ali, Mr William",3,25,male,0,0
621,"Allen, Mr William Henry",3,35,male,0,0
622,"Allum, Mr Owen George",3,17,male,0,0
623,"Andersen, Mr Albert Karvin",3,32,male,0,0
624,"Andersen, Mr Thor Olsvigen",3,20,male,0,0
625,"Andersson, Mr Anders Johan",3,39,male,0,0
626,"Andersson, Mrs Anders Johan (Alfrida K Brogren)",3,39,female,0,1
627,"Andersson, Miss Ebba Iris",3,6,female,0,1
628,"Andersson, Miss Ellis Anna Maria",3,2,female,0,1
629,"Andersson, Miss Erna",3,17,female,1,1
630,"Andersson, Miss Ida Augusta Margareta",3,38,female,0,1
631,"Andersson, Miss Ingeborg Constancia",3,9,female,0,1
632,"Andersson, Mr Johan Samuel",3,26,male,0,0
633,"Andersson, Miss Sigrid Elizabeth",3,11,female,0,1
634,"Andersson, Master Sigvard Harald Elias",3,4,male,0,0
635,"Andreasson, Mr Paul Edvin",3,20,male,0,0
636,"Angheloff, Mr Minko",3,26,male,0,0
637,"Arnold, Mr Josef",3,25,male,0,0
638,"Arnold, Mrs Josef (Josephine Frank)",3,18,female,0,1
639,"Aronsson, Mr Ernst Axel Algot",3,24,male,0,0
640,"Asim, Mr Adola",3,35,male,0,0
641,"Asplund, Mr Carl Oscar Vilhelm Gustafsson",3,40,male,0,0
642,"Asplund, Mrs Carl Oscar (Selma Augusta Johansson)",3,38,female,1,1
643,"Asplund, Master Carl Edgar",3,5,male,0,0
644,"Asplund, Master Clarence Gustaf Hugo",3,9,male,0,0
645,"Aspland, Master Edvin Rojj Felix",3,3,male,1,0
646,"Asplund, Master Filip Oscar",3,13,male,0,0
647,"Asplund, Mr John Charles",3,23,male,1,0
648,"Asplund, Miss Lillian Gertrud",3,5,female,1,1
649,"Assaf, Mr Gerios",3,NA,male,0,0
650,"Assaf, Mrs Mariana",3,45,female,1,1
651,"Assam, Mr Ali",3,23,male,0,0
652,"Attalah, Miss Malaka",3,17,female,0,1
653,"Attala (Kalil), Mr Solomon",3,27,male,0,0
654,"Augustsson, Mr Albert",3,23,male,0,0
655,"Baccos, Mr Rafoul",3,20,male,0,0
656,"Backstrom, Mr Karl Alfred",3,32,male,0,0
657,"Backstrom, Mrs Karl Alfred (Maria Mathilda Gustafsson)",3,33,female,1,1
658,"Baclini, Miss Eugenie",3,3,female,1,1
659,"Baclini, Miss Helene",3,NA,female,1,1
660,"Baclini, Miss Maria",3,NA,female,1,1
661,"Baclini, Mrs Solomon (Latifa)",3,NA,female,1,1
662,"Badman, Miss Emily Louisa",3,18,female,1,1
663,"Badt, Mr Mohamed",3,40,male,0,0
664,"Balkic, Mr Cerin",3,26,male,0,0
665,"Banoura, Miss Ayout",3,15,female,1,1
666,"Barbara, Mrs Catherine",3,45,female,0,1
667,"Barbara, Miss Saude",3,18,female,0,1
668,"Barry, Miss Julia",3,27,female,0,1
669,"Barton, Mr David",3,22,male,0,0
670,"Beavan, Mr William Thomas",3,19,male,0,0
671,"Bengtsson, Mr John Viktor",3,26,male,0,0
672,"Berglund, Mr Karl Ivar Sven",3,22,male,0,0
673,"Betros, Mr Tannous",3,20,male,0,0
674,"Bing, Mr Lee",3,32,male,1,0
675,"Birkeland, Mr Hans",3,21,male,0,0
676,"Bjorklund, Ernst Herbert",3,18,male,0,0
677,"Bostandyeff, Mr Guentcho",3,26,male,0,0
678,"Boulos, Master Akar",3,6,male,0,0
679,"Boulos, Mr Hanna",3,NA,male,0,0
680,"Boulos, Mrs Joseph (Sultana)",3,NA,female,0,1
681,"Boulos, Miss Laura",3,9,female,0,1
682,"Bourke, Mr John",3,40,male,0,0
683,"Bourke, Mrs John (Catherine)",3,32,female,0,1
684,"Bourke, Miss Mary",3,NA,female,0,1
685,"Bowen, Mr David",3,26,male,0,0
686,"Bradley, Miss Bridget Delia",3,18,female,1,1
687,"Braf, Miss Elin Ester Maria",3,20,female,0,1
688,"Brahim, Mr Youssef",3,NA,male,0,0
689,"Braund, Mr Lewis Richard",3,29,male,0,0
690,"Braund, Mr Owen Harris",3,22,male,0,0
691,"Brobek, Mr Karl Rudolf",3,22,male,0,0
692,"Brocklebank, Mr William Alfred",3,35,male,0,0
693,"Buckley, Mr Daniel",3,21,male,1,0
694,"Buckley, Miss Katherine",3,20,female,0,1
695,"Burke, Mr Jeremiah",3,19,male,0,0
696,"Burns, Miss Mary Delia",3,18,female,0,1
697,"Cacic, Mr Grego",3,18,male,0,0
698,"Cacic, Mr Luka",3,38,male,0,0
699,"Cacic, Mr Manda",3,NA,male,0,0
700,"Cacic, Mr Maria",3,30,male,0,0
701,"Calic, Mr Peter",3,17,male,0,0
702,"Canavan, Miss Mary",3,21,female,0,1
703,"Canavan, Mr Patrick",3,21,male,0,0
704,"Cann, Mr Ernest",3,21,male,0,0
705,"Caram (Kareem), Mr Joseph",3,NA,male,0,0
706,"Caram (Kareem), Mrs Joseph (Maria Elias)",3,NA,female,0,1
707,"Carlsson, Mr Carl Robert",3,24,male,0,0
708,"Carlsson, Mr Frans Olof",3,33,male,0,0
709,"Carlsson, Mr Julius",3,33,male,0,0
710,"Carlsson, Mr August Sigfrid",3,28,male,0,0
711,"Carr, Miss Helen",3,16,female,1,1
712,"Carr, Miss Jeannie",3,37,female,0,1
713,"Carver, Mr Alfred John",3,28,male,0,0
714,"Cassem, Mr Nassef Belmenly",3,NA,male,1,0
715,"Celotti, Mr Francesco",3,24,male,0,0
716,"Chartens, Mr David",3,21,male,0,0
717,"Chebab, Mr Emir Farres",3,NA,male,0,0
718,"Chip, Mr Chang",3,32,male,0,0
719,"Christmann, Mr Emil",3,29,male,0,0
720,"Chronopoulos, Mr Apostolos",3,26,male,0,0
721,"Chronopoulos, Mr Demetrios",3,18,male,0,0
722,"Coelho, Mr Domingos Fernandes",3,20,male,0,0
723,"Cohen, Mr Gurshon (Gus)",3,19,male,1,0
724,"Colbert, Mr Patrick",3,24,male,0,0
725,"Coleff, Mr Fotio",3,24,male,0,0
726,"Coleff, Mr Peyo",3,36,male,0,0
727,"Conlin, Mr Thomas Henry",3,31,male,0,0
728,"Connaghton, Mr Michael",3,31,male,0,0
729,"Connolly, Miss Kate",3,30,female,0,1
730,"Connolly, Miss Kate",3,22,female,1,1
731,"Connors, Mr Patrick",3,NA,male,0,0
732,"Cook, Mr Jacob",3,43,male,0,0
733,"Cor, Mr Bartol",3,35,male,0,0
734,"Cor, Mr Ivan",3,27,male,0,0
735,"Cor, Mr Ludovik",3,19,male,0,0
736,"Corn, Mr Harry",3,30,male,0,0
737,"Coutts, Mrs William (Minnie)",3,36,female,1,1
738,"Coutts, Master Neville",3,3,male,1,0
739,"Coutts, Master William Leslie",3,9,male,1,0
740,"Coxon, Mr Daniel",3,59,male,0,0
741,"Crease, Mr Ernest James",3,19,male,0,0
742,"Cribb, Mr John Hatfield",3,44,male,0,0
743,"Cribb, Miss Laura Alice",3,17,female,1,1
744,"Daher, Mr Tannous",3,NA,male,0,0
745,"Dahl, Mr Charles Edward",3,45,male,1,0
746,"Dahlberg, Miss Gerda Ulrika",3,22,female,0,1
747,"Dakic, Mr Branko",3,19,male,0,0
748,"Daly, Mr Eugene",3,29,male,1,0
749,"Daly, Miss Marcella",3,30,female,1,1
750,"Danbom, Mr Ernst Gilbert",3,34,male,0,0
751,"Danbom, Mrs Ernst Gilbert (Anna Sigrid Maria Brogren)",3,28,female,0,1
752,"Danbom, Master Gilbert Sigvard Emanuel",3,0.33,male,0,0
753,"Danoff, Mr Yoto",3,27,male,0,0
754,"Dantchoff, Mr Khristo",3,25,male,0,0
755,"Davies, Mr Alfred",3,24,male,0,0
756,"Davies, Mr Evan",3,22,male,0,0
757,"Davies, Mr John",3,21,male,0,0
758,"Davies, Mr Joseph",3,17,male,0,0
759,"Davison, Mr Thomas Henry",3,NA,male,0,0
760,"Davison, Mrs Thomas Henry (Mary Finck)",3,NA,female,1,1
761,"Dean, Mr Bertram",3,26,male,0,0
762,"Dean, Mrs Bertram (Eva)",3,33,female,1,1
763,"Dean, Master Bertram Vere",3,1,male,1,0
764,"Dean, Miss Elizabeth Gladys (Millvena)",3,0.17,female,1,1
765,"Delalic, Mr Regyo",3,25,male,0,0
766,"De Messemaeker, Mr William Joseph",3,36,male,1,0
767,"De Messemaeker, Mrs William Joseph (Anna)",3,36,female,1,1
768,"De Mulder, Mr Theo",3,30,male,1,0
769,"Denkoff, Mr Mito",3,NA,male,0,0
770,"Dennis, Mr Samuel",3,23,male,0,0
771,"Dennis, Mr William",3,26,male,0,0
772,"Devaney, Miss Margaret",3,19,female,1,1
773,"Dewan, Mr Frank",3,65,male,0,0
774,"Dibo, Mr Elias",3,NA,male,0,0
775,"Dimic, Mr Jovan",3,42,male,0,0
776,"Dintcheff, Mr Valtcho",3,43,male,0,0
777,"Dooley, Mr Patrick",3,32,male,0,0
778,"Dorkings, Mr Edward Arthur",3,19,male,1,0
779,"Dowdell, Miss Elizabeth",3,30,female,1,1
780,"Doyle, Miss Elizabeth",3,24,female,0,1
781,"Drapkin, Miss Jennie",3,23,female,1,1
782,"Drazonovic, Mr Josef",3,NA,male,0,0
783,"Driscoll, Miss Bridget",3,24,female,1,1
784,"Duquemin, Mr Joseph",3,24,male,1,0
785,"Dyker, Mr Adolf Fredrik",3,23,male,0,0
786,"Dyker, Mrs Adolf Fredrik (Anna Elizabeth Judith Andersson)",3,22,female,1,1
787,"Econovic, Mr Joso",3,NA,male,0,0
788,"Edvardsson, Mr Gustaf Hjalmar",3,18,male,0,0
789,"Eklund, Mr Hans Linus",3,16,male,0,0
790,"Ekstrom, Mr Johan",3,45,male,0,0
791,"Elias, Mr Elias",3,NA,male,0,0
792,"Elias, Mr John",3,NA,male,0,0
793,"Elias, Mr Joseph",3,NA,male,0,0
794,"Elsbury, Mr James",3,47,male,0,0
795,"Emanuel, Miss Virginia Ethel",3,5,female,1,1
796,"Emmeth, Mr Thomas",3,NA,male,0,0
797,"Everett, Thomas James",3,NA,male,0,0
798,"Farrell, Mr James",3,NA,male,0,0
799,"Finoli, Mr Luigi",3,NA,male,1,0
800,"Fischer, Mr Eberhard Telander",3,NA,male,0,0
801,"Flynn, Mr James",3,NA,male,0,0
802,"Flynn, Mr John",3,NA,male,0,0
803,"Foley, Mr Joseph",3,NA,male,0,0
804,"Foley, Mr William",3,NA,male,0,0
805,"Foo, Mr Choong",3,NA,male,1,0
806,"Ford, Mr Arthur",3,NA,male,0,0
807,"Ford, Miss Doolina Margaret",3,21,female,0,1
808,"Ford, Mr Edward Watson",3,18,male,0,0
809,"Ford, Miss Maggie",3,9,female,0,1
810,"Ford, Mrs Edward (Margaret Ann)",3,48,female,0,1
811,"Ford, Mr Neil Watson",3,16,male,0,0
812,"Fox, Mr Patrick",3,NA,male,0,0
813,"Franklin, Mr Charles",3,NA,male,0,0
814,"Gallagher, Mr Martin",3,25,male,0,0
815,"Garfirth, Mr John",3,NA,male,0,0
816,"Georges, Mrs Shahini Weappi",3,38,female,1,1
817,"Gilinski, Mr Leslie",3,22,male,0,0
818,"Gilnagh, Miss Katie",3,16,female,1,1
819,"Glynn, Miss Mary Agatha",3,NA,female,1,1
820,"Goldsmith, Mr Frank John",3,33,male,0,0
821,"Goldsmith, Mrs Frank John (Emily A Brown)",3,NA,female,1,1
822,"Goldsmith, Master Frank John William",3,9,male,1,0
823,"Goldsmith, Mr Nathan",3,41,male,0,0
824,"Goncalves, Mr Manuel Estanslas",3,38,male,0,0
825,"Goodwin, Mr Frederick",3,40,male,0,0
826,"Goodwin, Mrs Frederick (Augusta)",3,43,female,0,1
827,"Goodwin, Mr Charles E",3,14,male,0,0
828,"Goodwin, Miss Lillian A",3,16,female,0,1
829,"Goodwin, Master Harold V",3,9,male,0,0
830,"Goodwin, Miss Jessie A",3,10,female,0,1
831,"Goodwin, Master Sidney L",3,6,male,0,0
832,"Goodwin, Master William F",3,11,male,0,0
833,"Green, Mr George",3,40,male,0,0
834,"Gronnestad, Mr Daniel Danielsen",3,32,male,0,0
835,"Guest, Mr Robert",3,NA,male,0,0
836,"Gustafsson, Mr Alfred Ossian",3,20,male,0,0
837,"Gustafsson, Mr Anders Vilhelm",3,37,male,0,0
838,"Gustafsson, Mr Johan Birger",3,28,male,0,0
839,"Gustafsson, Mr Karl Gideon",3,19,male,0,0
840,"Haas, Miss Aloisia",3,24,female,0,1
841,"Hagardon, Miss Kate",3,17,female,0,1
842,"Hagland, Mr Ingvald Olsen",3,NA,male,0,0
843,"Hagland, Mr Konrad Mathias Reiersen",3,NA,male,0,0
844,"Hakkarainen, Mr Pekko Pietari",3,28,male,0,0
845,"Hakkarainen, Mrs Pekko Pietari",3,24,female,1,1
846,"Hampe, Mr Leon",3,20,male,0,0
847,"Hansen, Mr Claus Peter",3,41,male,0,0
848,"Hansen, Mrs Claus Peter",3,45,female,1,1
849,"Hansen, Mr Henrik Juul",3,26,male,0,0
850,"Hansen, Mr Henry Damsgaard",3,21,male,0,0
851,"Harknett, Miss Alice",3,NA,female,0,1
852,"Harmer, Mr Abraham",3,NA,male,0,0
853,"Hart, Mr Henry",3,NA,male,0,0
854,"Hassan, Mr M Houssein",3,NA,male,0,0
855,"Healy, Miss Nora",3,NA,female,0,1
856,"Hedman, Mr Oscar",3,27,male,1,0
857,"Hee, Mr Ling",3,NA,male,0,0
858,"Hegarty, Miss Nora",3,18,female,0,1
859,"Heikkinen, Miss Laina",3,26,female,1,1
860,"Heininen, Miss Wendla Maria",3,23,female,0,1
861,"Hellstrom, Hilda Maria",3,22,female,1,1
862,"Hemming, Miss Nora",3,NA,female,0,1
863,"Hendekovic, Mr Ignaz",3,NA,male,0,0
864,"Henery, Delia",3,NA,female,0,1
865,"Henriksson, Jenny Lovisa",3,28,female,0,1
866,"Hirvonen, Mrs Alexander",3,22,female,1,1
867,"Hirvonen, Miss Hildur E",3,2,female,0,1
868,"Holm, Mr John Frederik Alexander",3,43,male,0,0
869,"Holthen, Mr Johan Martin",3,NA,male,0,0
870,"Honkanen, Miss Eluna",3,27,female,1,1
871,"Horgan, Mr John",3,NA,male,0,0
872,"Howard, Miss May",3,NA,female,1,1
873,"Humblin, Mr Adolf Mathias Nicolai Olsen",3,42,male,0,0
874,"Hyman, Mr Abraham",3,NA,male,1,0
875,"Ilieff, Mr Ylio",3,NA,male,0,0
876,"Ilmakangas, Miss Ida Livija",3,27,female,0,1
877,"Ilmakangas, Miss Pieta Sofia",3,25,female,0,1
878,"Ivanoff, Mr Konio",3,NA,male,0,0
879,"Jansen, Mr Carl Olof",3,27,male,1,0
880,"Jardin, Mr Jose Netto",3,NA,male,0,0
881,"Jensen, Miss Carla Christine",3,19,female,1,1
882,"Jensen, Mr Hans Peder",3,20,male,0,0
883,"Jensen, Mr Niels Peder",3,48,male,0,0
884,"Jensen, Mr Svend Lauritz",3,17,male,0,0
885,"Jermyn, Miss Annie",3,NA,female,1,1
886,"Johannesen-Bratthammer, Mr Bernt",3,NA,male,0,0
887,"Johanson, Mr Jakob Alfred",3,34,male,0,0
888,"Johansson, Mr Erik",3,22,male,0,0
889,"Johansson, Mr Gustaff Joel",3,33,male,0,0
890,"Johansson, Mr Karl Johan",3,32,male,1,0
891,"Johansson, Mr Nils",3,29,male,0,0
892,"Johansson, Oscar L",3,26,male,1,0
893,"Johnson, Mr Alfred",3,49,male,0,0
894,"Johnson, Miss Eleanor Ileen",3,1,female,1,1
895,"Johnson, Mr Malkolm Joackim",3,33,male,0,0
896,"Johnson, Master Harold Theodor",3,4,male,1,0
897,"Johnson, Mrs Oscar W",3,24,female,0,1
898,"Johnson, Mr William Cahoone Jr",3,19,male,0,0
899,"Johnston, Mr Andrew G",3,NA,male,0,0
900,"Johnston, Mrs Andrew G",3,NA,female,0,1
901,"Johnston, Miss Catherine H",3,NA,female,0,1
902,"Johnston, Master William A",3,NA,male,0,0
903,"Jonkoff, Mr Lazor",3,NA,male,0,0
904,"Jonsson, Mr Carl",3,32,male,1,0
905,"Jonsson, Nils Hilding",3,27,male,0,0
906,"Jussila, Miss Aina Maria",3,21,female,0,1
907,"Jussila, Mr Erik",3,32,male,1,0
908,"Jussila, Miss Katriina",3,20,female,0,1
909,"Kallio, Mr Nikolai Erland",3,17,male,0,0
910,"Kalvig, Mr Johannes K Halverson",3,21,male,0,0
911,"Karajic, Mr Milan",3,30,male,0,0
912,"Karlsson, Mr Einar Gervasius",3,21,male,1,0
913,"Karlsson, Mr Julius Konrad Eugen",3,23,male,0,0
914,"Karlsson, Mr Nils August",3,22,male,0,0
915,"Karun, Miss Anna Mary",3,4,female,1,1
916,"Karun, Mr Franz",3,39,male,0,0
917,"Kassem, Mr Fared",3,NA,male,0,0
918,"Keane, Mr Andrew",3,20,male,0,0
919,"Keefe, Mr Arthur",3,NA,male,0,0
920,"Kekic, Mr Tido",3,NA,male,0,0
921,"Kelly, Miss Anna Kate",3,21,female,1,1
922,"Kelly, Mr James",3,44,male,0,0
923,"Kelly, Mr James",3,42,male,0,0
924,"Kelly, Miss Mary",3,21,female,1,1
925,"Kennedy, Mr John",3,24,male,0,0
926,"Khalil, Mr Betros",3,NA,male,0,0
927,"Khalil, Mrs Betros",3,NA,female,0,1
928,"Khalil, Mr Saad",3,NA,male,0,0
929,"Kiernan, Mr John",3,25,male,0,0
930,"Kiernan, Mr Philip",3,22,male,0,0
931,"Kilgannon, Mr Thomas",3,22,male,0,0
932,"Kink, Mr Anton",3,39,male,1,0
933,"Kink, Mrs Anton (Louise Heilmann)",3,26,female,0,1
934,"Kink, Miss Louise Gretchen",3,4,female,1,1
935,"Kink, Miss Maria",3,22,female,0,1
936,"Kink, Mr Vincenz",3,26,male,0,0
937,"Klasen, Miss Gertrud Emilia",3,1.5,female,0,1
938,"Klasen, Mrs Hulda Kristina",3,36,female,0,1
939,"Klasen, Mr Klas Albin",3,18,male,0,0
940,"Kraeff, Mr Theodor",3,NA,male,0,0
941,"Krekorian, Mr Neshan",3,25,male,1,0
942,"Lahowd, Mr Sarkis",3,NA,male,0,0
943,"Laitinen, Miss Kritina Sofia",3,37,female,0,1
944,"Laleff, Mr Kristo",3,NA,male,0,0
945,"Lam, Mr Ali",3,NA,male,1,0
946,"Lam, Mr Len",3,NA,male,0,0
947,"Landegren, Miss Aurora Adelia",3,22,female,1,1
948,"Lane, Mr Patrick",3,20,male,0,0
949,"Lang, Mr Fang",3,26,male,1,0
950,"Larsson, Mr August Viktor",3,29,male,0,0
951,"Larsson, Mr Bengt Edvin",3,29,male,0,0
952,"Larsson-Rondberg, Mr Edvard",3,22,male,0,0
953,"Leeni, Mr Fahim",3,NA,male,1,0
954,"Lefebre, Mrs Frank",3,NA,female,0,1
955,"Lefebre, Master Henry",3,NA,male,0,0
